feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
comfort	26	1	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	1
calm	23	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	3
gentl	20	3	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	4
annoy	24	1	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	2
attent	16	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	7
grab	15	3	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	6
comfort	36	1	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	1
calm	25	2	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	3
warm	19	3	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	8
comfort	43	1	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	1
calm	30	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	3
gentl	26	3	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	4
comfort	28	1	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	1
calm	15	2	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	3
friend	11	3	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	10
comfort	24	1	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	1
calm	18	2	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	3
warm	15	3	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	8
comfort	18	1	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	1
calm	17	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	3
annoy	13	3	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	2
attent	22	1	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	7
gentl	20	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	4
grab	18	3	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	6
annoy	23	1	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	2
attent	18	2	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	7
grab	17	3	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	6
attent	22	1	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	7
grab	21	2	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	6
annoy	20	3	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	2
annoy	36	1	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	2
attent	25	2	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	7
grab	24	3	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	6
calm	42	1	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	3
comfort	36	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	1
gentl	25	3	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	4
comfort	24	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	1
gentl	18	2	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	4
calm	17	3	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	3
comfort	28	1	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	1
calm	24	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	3
gentl	16	3	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	4
