Group	descriptor	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	Frequency
emotion	comfort	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	86
emotion	comfort	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	89
emotion	comfort	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	49
emotion	curious	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	10
emotion	happy	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	11
emotion	irritating	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	10
emotion	irritating	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	11
emotion	irritating	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	13
emotion	irritating	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	11
emotion	irritating	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	10
emotion	irritating	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	8
emotion	love	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	10
emotion	love	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	26
emotion	love	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	14
emotion	love	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	10
emotion	love	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	45
emotion	love	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	40
emotion	love	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	24
emotion	love	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	13
emotion	love	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	24
emotion	love	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	36
emotion	love	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	21
emotion	love	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	29
emotion	love	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	20
emotion	love	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	14
emotion	pleasant	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	13
emotion	sensual	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	18
emotion	surprise	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	11
emotion	tickle	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	14
emotion	wonder	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	7
intention	attention	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	101
intention	attention	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	83
intention	attention	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	107
intention	attention	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	104
intention	attention	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	110
intention	attention	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	118
intention	attention	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	26
intention	attention	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	36
intention	attention	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	17
intention	attention	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	44
intention	attention	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	16
intention	attention	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	61
intention	feel	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	10
intention	feel	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	14
intention	feel	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	16
intention	feel	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	17
intention	feel	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	24
intention	feel	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	17
intention	feel	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	25
intention	feel	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	27
intention	feel	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	14
intention	feel	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	18
intention	make	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	17
intention	make	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	20
intention	make	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	19
intention	make	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	16
intention	show	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	21
intention	show	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	13
intention	show	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	19
intention	show	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	16
intention	show	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	19
intention	show	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	14
intention	show	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	30
intention	show	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	20
intention	show	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	24
intention	show	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	18
intention	talk	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	14
intention	talk	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	12
intention	talk	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	14
intention	talk	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	12
intention	talk	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	14
intention	want	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	13
intention	want	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	37
intention	want	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	18
intention	want	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	23
intention	want	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	41
intention	want	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	19
intention	want	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	20
intention	want	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	12
intention	want	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	14
intention	want	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	17
intention	want	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	31
intention	want	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	10
intention	want	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	22
intention	want	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	13
intention	want	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	22
intention	watch	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	13
intention	watch	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	9
intention	watch	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	14
intention	watch	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	14
intention	watch	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	14
intention	watch	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	14
intention	watch	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	12
intention	watch	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	16
intention	watch	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	14
intention	watch	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	14
intention	watch	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	12
memotion	frustration	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	9
person	acq-str-prof	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	11
person	acq-str-prof	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	29
person	acq-str-prof	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	23
person	acq-str-prof	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	13
person	acq-str-prof	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	9
person	acq-str-prof	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	12
person	acq-str-prof	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	10
person	child	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	14
person	child	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	11
person	child	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	16
person	child	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	45
person	child	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	7
person	child	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	23
person	child	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	11
person	child	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	13
person	child	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	16
person	family	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	10
person	family	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	15
person	family	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	9
person	family	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	8
person	family	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	10
person	family	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	15
person	family	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	9
person	family	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	16
person	family	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	10
person	family	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	17
person	friend	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	37
person	friend	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	23
person	friend	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	19
person	friend	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	24
person	friend	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	23
person	friend	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	34
person	friend	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	43
person	friend	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	25
person	friend	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	43
person	friend	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	41
person	friend	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	35
person	friend	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	24
person	friend	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	9
person	friend	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	14
person	friend	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	34
person	friend	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	18
person	friend	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	22
person	friend	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	19
person	friend	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	18
person	friend	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	15
person	friend	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	24
person	friend	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	31
person	friend	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	34
person	friend	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	35
person	romantic partner	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	13
person	romantic partner	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	14
person	romantic partner	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	13
person	romantic partner	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	49
person	romantic partner	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	29
person	romantic partner	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	28
person	romantic partner	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	22
person	romantic partner	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	19
person	romantic partner	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	14
person	romantic partner	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	37
person	romantic partner	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	33
person	romantic partner	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	33
person	romantic partner	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	17
person	romantic partner	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	11
person	romantic partner	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	17
place	bedroom	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	11
place	bedroom	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	9
place	home	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	33
place	home	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	28
place	home	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	34
place	home	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	30
place	home	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	48
place	home	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	38
place	home	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	61
place	home	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	31
place	home	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	38
place	home	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	46
place	home	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	33
place	home	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	36
place	home	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	48
place	home	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	31
place	home	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	42
place	home	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	47
place	home	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	39
place	home	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	48
place	home	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	51
place	home	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	48
place	home	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	62
place	home	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	51
place	home	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	66
place	home	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	46
place	room	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	10
place	room	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	10
place	room	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	12
place	room	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	9
place	room	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	10
place	room	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	8
place	room	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	10
place	room	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	8
place	room	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	11
place	room	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	10
place	room	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	13
place	room	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	11
place	room	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	8
place	sit	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	9
place	sit	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	8
place	sit	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	11
place	sofa	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	10
place	sofa	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	12
place	sofa	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	17
place	sofa	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	11
place	sofa	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	9
place	workplace	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	12
place	workplace	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	10
place	workplace	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	10
place	workplace	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	11
place	workplace	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	15
place	workplace	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	9
place	workplace	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	8
place	workplace	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	16
place	workplace	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	19
place	workplace	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	9
place	workplace	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	9
place	workplace	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	11
place	workplace	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	10
place	workplace	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	7
place	workplace	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	6
place	workplace	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	9
place	workplace	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	10
place	workplace	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	11
sensory	fast	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	16
sensory	fast	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	17
sensory	friction	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	18
sensory	gentle	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	36
sensory	gentle	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	20
sensory	gentle	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	25
sensory	gentle	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	18
sensory	gentle	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	16
sensory	gentle	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	17
sensory	gentle	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	47
